loc_num,population,county_city,loc_type,ramp_int
725,5.0,3902,,
726,5.0,3902,highway,
727,7.0,3313,ramp,4.0
728,9.0,700,ramp,1.0
729,3.0,706,ramp,2.0
730,3.0,715,highway,
731,4.0,790,highway,
732,9.0,700,ramp,2.0
733,3.0,3631,,
734,3.0,3631,highway,
735,3.0,3631,intersection,5.0
736,3.0,3617,intersection,5.0
737,3.0,3617,highway,
738,3.0,5004,highway,
739,3.0,5004,intersection,5.0
740,6.0,3010,intersection,6.0
741,3.0,5004,intersection,6.0
742,4.0,790,,
743,3.0,3617,intersection,6.0
744,2.0,4212,highway,
745,2.0,4212,,
746,2.0,4212,intersection,6.0
747,4.0,3605,ramp,4.0
748,2.0,4118,highway,
749,3.0,5004,,
750,3.0,1929,,
751,3.0,1929,intersection,6.0
752,4.0,1946,highway,
753,1.0,1934,highway,
754,6.0,1955,ramp,1.0
755,4.0,2106,,
756,5.0,4806,ramp,2.0
757,2.0,1401,highway,
758,4.0,4006,ramp,1.0
759,9.0,800,highway,
760,5.0,1915,,
761,5.0,1919,highway,
762,5.0,1908,highway,
763,3.0,1964,highway,
764,5.0,1908,ramp,2.0
765,6.0,1992,ramp,4.0
766,4.0,4305,,
767,9.0,3200,,
768,4.0,4305,highway,
769,6.0,3010,intersection,5.0
770,2.0,3606,,
771,2.0,3606,intersection,5.0
772,5.0,4203,intersection,5.0
773,9.0,5800,intersection,5.0
774,4.0,4114,ramp,1.0
775,3.0,4205,,
776,3.0,4205,ramp,4.0
777,6.0,1933,,
778,9.0,2200,,
779,5.0,3012,,
780,5.0,112,ramp,1.0
781,6.0,3004,ramp,2.0
782,6.0,3015,ramp,2.0
783,6.0,3702,highway,
784,9.0,5700,ramp,1.0
785,9.0,5700,ramp,2.0
786,6.0,103,,
787,9.0,100,ramp,1.0
788,5.0,4308,ramp,2.0
789,4.0,1910,,
790,5.0,1001,,
791,5.0,1001,ramp,4.0
792,5.0,1001,intersection,5.0
793,4.0,1917,,
794,2.0,2804,intersection,5.0
795,4.0,4008,highway,
796,3.0,4004,intersection,5.0
797,3.0,4004,highway,
798,4.0,4120,highway,
799,4.0,4102,highway,
800,4.0,4115,highway,
801,3.0,4110,highway,
802,2.0,3680,,
803,6.0,3607,ramp,3.0
804,5.0,3602,highway,
805,9.0,1600,intersection,6.0
806,4.0,1602,,
807,7.0,3313,ramp,1.0
808,6.0,103,highway,
809,6.0,103,intersection,5.0
810,5.0,4116,ramp,2.0
811,4.0,4104,highway,
812,4.0,3707,,
813,4.0,3707,highway,
814,4.0,3707,intersection,5.0
815,9.0,3900,ramp,2.0
816,9.0,3900,ramp,4.0
817,9.0,3900,ramp,1.0
818,9.0,2200,highway,
819,5.0,3447,highway,
820,9.0,3400,ramp,2.0
821,3.0,2401,,
822,4.0,198,ramp,1.0
823,3.0,1903,highway,
824,6.0,1949,ramp,1.0
825,5.0,1908,ramp,1.0
826,7.0,3313,highway,
827,4.0,3310,highway,
828,7.0,3313,ramp,3.0
829,9.0,3300,ramp,1.0
830,6.0,3315,ramp,2.0
831,9.0,3300,ramp,2.0
832,9.0,3300,ramp,4.0
833,9.0,3300,ramp,3.0
834,9.0,4600,,
835,9.0,2900,intersection,6.0
836,2.0,2901,highway,
837,5.0,3781,highway,
838,3.0,5801,highway,
839,3.0,5801,,
840,2.0,2801,,
841,5.0,4117,ramp,1.0
842,2.0,4103,ramp,2.0
843,7.0,3801,,
844,4.0,711,,
845,5.0,5701,,
846,5.0,3016,highway,
847,5.0,3016,,
848,5.0,3335,,
849,4.0,3707,intersection,6.0
850,5.0,3335,highway,
851,4.0,3312,highway,
852,3.0,3303,,
853,2.0,1009,highway,
854,4.0,4102,intersection,6.0
855,1.0,3403,,
856,2.0,3106,,
857,3.0,1015,,
858,5.0,4116,intersection,5.0
859,5.0,4116,ramp,3.0
860,5.0,4116,ramp,1.0
861,5.0,3712,ramp,2.0
862,6.0,3710,ramp,1.0
863,5.0,3782,highway,
864,7.0,3711,highway,1.0
865,6.0,3702,ramp,1.0
866,7.0,1942,intersection,6.0
867,3.0,3101,,
868,2.0,601,,
869,2.0,2901,ramp,4.0
870,6.0,3706,ramp,2.0
871,6.0,3706,ramp,1.0
872,5.0,3712,ramp,1.0
873,4.0,3309,,
874,4.0,3618,,
875,6.0,3905,ramp,2.0
876,9.0,300,intersection,6.0
877,9.0,1600,ramp,1.0
878,9.0,2600,highway,
879,9.0,2200,intersection,5.0
880,5.0,4502,intersection,5.0
881,5.0,4502,ramp,4.0
882,2.0,1505,highway,
883,1.0,1932,,
884,2.0,1999,,
885,4.0,1937,,
886,4.0,1936,highway,
887,6.0,1949,ramp,2.0
888,5.0,1990,ramp,2.0
889,3.0,4404,,
890,2.0,4709,highway,
891,9.0,4700,,
892,9.0,5700,intersection,5.0
893,5.0,5701,highway,
894,4.0,5704,ramp,3.0
895,4.0,5704,ramp,2.0
896,9.0,2800,intersection,5.0
897,9.0,2800,highway,
898,5.0,107,highway,
899,6.0,105,intersection,5.0
900,9.0,100,intersection,5.0
901,3.0,3013,,
902,3.0,2707,,
903,3.0,2707,highway,
904,3.0,2707,intersection,5.0
905,4.0,1602,ramp,4.0
906,2.0,1508,intersection,5.0
907,2.0,1508,highway,
908,2.0,1508,,
909,2.0,1006,,
910,4.0,5405,intersection,6.0
911,4.0,3603,highway,4.0
912,4.0,1909,,
913,3.0,1929,highway,
914,9.0,300,intersection,5.0
915,4.0,714,,
916,4.0,3309,highway,
917,6.0,3905,ramp,1.0
918,3.0,3904,highway,
919,6.0,3607,ramp,1.0
920,5.0,5407,highway,
921,9.0,5400,intersection,6.0
922,3.0,2908,highway,
923,3.0,2908,intersection,5.0
924,5.0,2109,ramp,4.0
925,5.0,3612,highway,
926,9.0,1400,intersection,5.0
927,3.0,5202,highway,
928,9.0,3500,highway,
929,2.0,1993,,
930,3.0,1989,,
931,3.0,1994,,
932,3.0,1995,highway,
933,6.0,1955,,
934,6.0,1922,highway,
935,4.0,2710,,
936,2.0,104,,
937,5.0,112,ramp,2.0
938,9.0,100,intersection,6.0
939,3.0,1921,highway,
940,5.0,4303,ramp,2.0
941,4.0,2710,intersection,5.0
942,2.0,104,highway,
943,9.0,4200,ramp,2.0
944,7.0,1005,intersection,5.0
945,2.0,104,ramp,4.0
946,5.0,112,,
947,3.0,1509,,
948,4.0,4127,,
949,9.0,3000,ramp,1.0
950,5.0,101,intersection,5.0
951,6.0,3905,ramp,4.0
952,3.0,3690,ramp,2.0
953,9.0,3600,ramp,2.0
954,9.0,5000,ramp,1.0
955,9.0,5000,intersection,5.0
956,4.0,4104,,
957,5.0,107,ramp,1.0
958,2.0,1010,,
959,2.0,5008,highway,
960,2.0,5201,,
961,2.0,2403,,
962,5.0,1943,,
963,5.0,3025,intersection,6.0
964,2.0,5603,,
965,3.0,5602,highway,
966,6.0,4314,ramp,4.0
967,6.0,4314,intersection,5.0
968,5.0,5601,intersection,6.0
969,6.0,1922,,
970,9.0,4200,intersection,5.0
971,5.0,4204,highway,
972,5.0,3709,,
973,3.0,4980,,
974,3.0,3690,highway,
975,5.0,708,,
976,5.0,112,intersection,5.0
977,2.0,3103,intersection,5.0
978,2.0,3103,highway,
979,2.0,3103,,
980,5.0,2406,ramp,4.0
981,5.0,1919,ramp,4.0
982,7.0,1005,ramp,1.0
983,5.0,1906,ramp,2.0
984,6.0,1975,highway,1.0
985,9.0,4400,,
986,5.0,1926,ramp,1.0
987,6.0,3616,highway,
988,6.0,4807,,
989,4.0,4801,ramp,3.0
990,6.0,1975,ramp,2.0
991,3.0,4404,ramp,4.0
992,5.0,1956,highway,
993,9.0,4400,highway,
994,3.0,4401,highway,
995,7.0,1005,ramp,4.0
996,9.0,3600,ramp,1.0
997,6.0,4106,ramp,1.0
998,2.0,4103,highway,
999,9.0,4100,ramp,1.0
1000,4.0,2710,ramp,1.0
1001,2.0,5403,,
1002,5.0,1926,,
1003,2.0,3920,ramp,4.0
1004,9.0,2100,,
1005,5.0,1901,,
1006,3.0,3615,,
1007,3.0,3690,,
