pcf_num,pcf_violation_code,pcf_violation_category,subsection,pcf_type
474,26458.0,brakes,A,vehicle code violation
475,26700.0,other equipment,,vehicle code violation
476,23222.0,unknown,A,vehicle code violation
477,38300.0,unknown,,vehicle code violation
478,23253.0,other hazardous violation,,vehicle code violation
479,26458.0,brakes,,vehicle code violation
480,35100.0,other hazardous violation,,vehicle code violation
481,23117.0,other hazardous violation,,vehicle code violation
482,22500.0,hazardous parking,K,vehicle code violation
483,38010.0,unknown,A,vehicle code violation
484,25650.0,other hazardous violation,5,vehicle code violation
485,22505.0,hazardous parking,B,vehicle code violation
486,31510.0,other equipment,D,vehicle code violation
487,26710.0,other equipment,,vehicle code violation
488,27460.0,other equipment,,vehicle code violation
489,30800.0,other equipment,B,vehicle code violation
490,22523.0,hazardous parking,,vehicle code violation
491,21464.0,other hazardous violation,A,vehicle code violation
492,22952.0,unknown,A,vehicle code violation
493,22500.0,hazardous parking,I,vehicle code violation
494,21964.0,pedestrian violation,,vehicle code violation
495,27003.0,other hazardous violation,,vehicle code violation
496,29200.0,other equipment,,vehicle code violation
497,27152.0,other equipment,,vehicle code violation
498,22951.0,unknown,,vehicle code violation
499,21465.0,other hazardous violation,,vehicle code violation
500,23127.0,unknown,,vehicle code violation
501,31303.0,other hazardous violation,C,vehicle code violation
502,25104.0,other equipment,,vehicle code violation
503,20003.0,unknown,,vehicle code violation
504,36605.0,unknown,,vehicle code violation
505,21654.0,impeding traffic,,vehicle code violation
506,35411.0,unknown,B,vehicle code violation
507,27452.0,other equipment,,vehicle code violation
508,38316.0,other hazardous violation,A,vehicle code violation
509,22110.0,unknown,B,vehicle code violation
510,16025.0,unknown,,vehicle code violation
511,38505.0,unknown,,vehicle code violation
512,10500.0,unknown,A,vehicle code violation
513,21702.0,other hazardous violation,A,vehicle code violation
514,24600.0,lights,,vehicle code violation
515,26502.0,brakes,,vehicle code violation
516,22112.0,other hazardous violation,A,vehicle code violation
517,23113.0,unknown,A,vehicle code violation
518,25301.0,other hazardous violation,,vehicle code violation
519,38316.0,other hazardous violation,,vehicle code violation
520,38504.0,unknown,,vehicle code violation
521,23116.0,other hazardous violation,,vehicle code violation
522,29005.0,other equipment,,vehicle code violation
523,21464.0,other hazardous violation,B,vehicle code violation
524,23331.0,pedestrian violation,,vehicle code violation
525,22406.0,speeding,1,vehicle code violation
526,22504.0,hazardous parking,,vehicle code violation
527,24406.0,lights,,vehicle code violation
528,28150.0,unknown,A,vehicle code violation
529,25265.0,other hazardous violation,,vehicle code violation
530,35250.0,other hazardous violation,B,vehicle code violation
531,15620.0,unknown,A,vehicle code violation
532,21211.0,impeding traffic,,vehicle code violation
533,21260.0,unknown,,vehicle code violation
534,27603.0,unknown,,vehicle code violation
535,,21804,N,
536,24252.0,lights,,vehicle code violation
537,38319.0,unknown,,vehicle code violation
538,23128.0,other hazardous violation,B,vehicle code violation
539,22111.0,other hazardous violation,C,vehicle code violation
540,22505.0,hazardous parking,,vehicle code violation
541,39002.0,unknown,A,vehicle code violation
542,26703.0,other equipment,,vehicle code violation
543,26101.0,lights,,vehicle code violation
544,25350.0,lights,,vehicle code violation
545,21756.0,speeding,B,vehicle code violation
